fips,population,population_density,median_household_income,unemployment_rate,pct_college_educated,ag_employment_share
04007,53419,11.23,55242,0.0694,0.1809,0.0781
04009,38453,8.32,64089,0.0597,0.1395,0.1305
04011,9483,5.15,73756,0.0302,0.1667,0.3554
04012,16681,3.71,46634,0.1073,0.1238,0.0798
04013,4430871,481.52,80675,0.0476,0.3498,0.0056
04015,214229,16.07,53592,0.0746,0.1441,0.011
04017,107110,10.77,50335,0.097,0.1729,0.0256
04019,1042393,113.44,64323,0.0587,0.3498,0.0101
04021,433338,80.76,73313,0.0644,0.214,0.0256
04023,47838,38.7,51885,0.0985,0.235,0.0444
04025,237830,29.28,62430,0.0491,0.2868,0.0224
04027,204374,37.07,56439,0.083,0.1642,0.1008
05001,17024,17.16,58695,0.0654,0.1578,0.0878
05003,19018,20.55,44804,0.0602,0.1158,0.0812
05005,41801,75.46,47403,0.0513,0.1816,0.012
05007,286528,338.0,85269,0.0285,0.3551,0.0142
05009,37662,63.86,52275,0.0444,0.1663,0.0202
05011,10461,16.11,43688,0.056,0.1254,0.075
05013,4773,7.59,60237,0.0913,0.1254,0.1065
05015,28362,45.02,56826,0.0315,0.2144,0.0719
05017,10234,16.07,36593,0.109,0.1762,0.0882
05019,21469,24.79,48071,0.0409,0.2645,0.0404
05021,14537,22.74,44685,0.0558,0.1538,0.0966
