fips,approval_prob,beta_alpha,beta_beta
17095,0.44,17.6,22.4
17097,0.44,17.6,22.4
17099,0.44,17.6,22.4
17101,0.44,17.6,22.4
17103,0.44,17.6,22.4
17105,0.44,17.6,22.4
17107,0.44,17.6,22.4
17109,0.44,17.6,22.4
17111,0.44,17.6,22.4
17113,0.44,17.6,22.4
17115,0.44,17.6,22.4
17117,0.44,17.6,22.4
17119,0.44,17.6,22.4
17121,0.44,17.6,22.4
17123,0.44,17.6,22.4
17125,0.44,17.6,22.4
17127,0.44,17.6,22.4
17129,0.44,17.6,22.4
17131,0.44,17.6,22.4
17133,0.44,17.6,22.4
17135,0.44,17.6,22.4
17137,0.44,17.6,22.4
17139,0.44,17.6,22.4
17141,0.44,17.6,22.4
17143,0.44,17.6,22.4
17145,0.44,17.6,22.4
17147,0.44,17.6,22.4
17149,0.44,17.6,22.4
17151,0.44,17.6,22.4
17153,0.44,17.6,22.4
17155,0.44,17.6,22.4
17157,0.44,17.6,22.4
17159,0.44,17.6,22.4
17161,0.44,17.6,22.4
17163,0.44,17.6,22.4
17165,0.44,17.6,22.4
17167,0.44,17.6,22.4
17169,0.44,17.6,22.4
17171,0.44,17.6,22.4
17173,0.44,17.6,22.4
17175,0.44,17.6,22.4
17177,0.44,17.6,22.4
17179,0.44,17.6,22.4
17181,0.44,17.6,22.4
17183,0.44,17.6,22.4
17185,0.44,17.6,22.4
17187,0.44,17.6,22.4
17189,0.44,17.6,22.4
17191,0.44,17.6,22.4
17193,0.44,17.6,22.4
17195,0.44,17.6,22.4
17197,0.44,17.6,22.4
17199,0.44,17.6,22.4
17201,0.44,17.6,22.4
17203,0.44,17.6,22.4
18001,0.2,8.0,32.0
18003,0.3105,12.42,27.58
18005,0.477,19.08,20.92
18007,0.2,8.0,32.0
18009,0.2872,11.49,28.51
18011,0.2095,8.38,31.62
18013,0.4129,16.51,23.49
18015,0.2,8.0,32.0
18017,0.2,8.0,32.0
18019,0.3408,13.63,26.37
18021,0.224,8.96,31.04
18023,0.2,8.0,32.0
18025,0.2,8.0,32.0
18027,0.2,8.0,32.0
18029,0.2906,11.62,28.38
18031,0.2,8.0,32.0
18033,0.2163,8.65,31.35
18035,0.6533,26.13,13.87
18037,0.2281,9.12,30.88
18039,0.2309,9.24,30.76
18041,0.2388,9.55,30.45
18043,0.6742,26.97,13.03
18045,0.2837,11.35,28.65
18047,0.2553,10.21,29.79
18049,0.2822,11.29,28.71
18051,0.2,8.0,32.0
18053,0.484,19.36,20.64
18055,0.2872,11.49,28.51
18057,0.2314,9.26,30.74
18059,0.2811,11.24,28.76
18061,0.4513,18.05,21.95
18063,0.2,8.0,32.0
18065,0.2,8.0,32.0
18067,0.4777,19.11,20.89
18069,0.2,8.0,32.0
18071,0.2,8.0,32.0
18073,0.2,8.0,32.0
18075,0.2,8.0,32.0
18077,0.3208,12.83,27.17
18079,0.311,12.44,27.56
18081,0.2031,8.13,31.87
18083,0.2,8.0,32.0
18085,0.2,8.0,32.0
18087,0.2,8.0,32.0
18089,0.2,8.0,32.0
18091,0.5098,20.39,19.61
18093,0.3089,12.35,27.65
18095,0.2931,11.72,28.28
18097,0.605,24.2,15.8
18099,0.2,8.0,32.0
18101,0.2,8.0,32.0
18103,0.2,8.0,32.0
18105,0.6191,24.76,15.24
18107,0.2,8.0,32.0
18109,0.331,13.24,26.76
18111,0.2872,11.49,28.51
18113,0.2859,11.43,28.57
18115,0.2,8.0,32.0
18117,0.2,8.0,32.0
18119,0.2872,11.49,28.51
18121,0.2837,11.35,28.65
18123,0.2808,11.23,28.77
